hh,urban,year,month,index,ctotal,ctotal_dur,ctotal_gift,cfood,cnodur,totW,months1,weeks1,months2,weeks2,pay2,wage_total,bs_profit,other_inc,HHID,profit_ls,profit_agr,total_agrls,inctotal,w_share,agr_share,bus_share,sex,age,hhnum,father_educ,father_ocup,mother_educ,mother_ocup,writeread,classeduc,illdays,region,familysize
H00101-04-01,0,2013,12,0,6655000.0,6655000.0,942000.0,4131400.0,2523600.0,4020000.0,,,12.0,4.0,,,4125000.0,0.0,1010401.0,468000.0,0.0,468000.0,5061000.0,,0.09247184350918791,0.8150563129816242,2.0,48.0,1.0,12.0,19.0,11.0,19.0,1.0,13.0,14.0,1.0,3
H00102-04-01,0,2014,10,1,2742400.0,2787400.0,409600.0,1440400.0,1302000.0,245000.0,,,,,,,0.0,0.0,1020401.0,0.0,346140.0,346140.0,692280.0,,0.5,0.0,2.0,46.0,1.0,,,,,1.0,,5.0,1.0,4
H00104-04-01,1,2014,6,2,4044900.0,4044900.0,115200.0,3521700.0,523200.0,1995000.0,,,,,,,204000.0,0.0,1040401.0,832000.0,30.0,832030.0,1868060.0,,0.445397899425072,0.109204201149856,1.0,39.0,1.0,,19.0,,,0.0,16.0,,1.0,5
H00110-04-01,0,2013,12,3,6875200.0,6875200.0,0.0,3640000.0,3235200.0,17730000.0,,,21.0,8.0,,,20000.0,0.0,1100401.0,,-1887.0,-1887.0,16226.0,,-0.11629483544927893,1.232589670898558,1.0,41.0,1.0,,,16.0,18.0,0.0,17.0,,1.0,2
H00208-04-01,1,2014,3,4,11972800.0,11972800.0,156000.0,3796000.0,8176800.0,69040000.0,6.0,4.0,12.0,4.0,,420000.0,1386000.0,1200000.0,,,,,3006000.0,0.13972055888223553,,0.46107784431137727,1.0,75.0,1.0,,,,,0.0,22.0,,1.0,5
H00209-04-01,1,2014,3,5,6804400.0,6824400.0,832000.0,4513600.0,2290800.0,872000.0,12.0,4.0,,,,3600000.0,0.0,0.0,,,,,3600000.0,1.0,,0.0,2.0,43.0,1.0,,,17.0,19.0,0.0,17.0,,1.0,5
H00211-04-01,1,2014,3,6,8230000.0,8248000.0,18000.0,4607200.0,3622800.0,26709000.0,9.0,5.0,8.0,2.0,,6300000.0,2350000.0,2880000.0,,,,,11530000.0,0.546400693842151,,0.20381613183000868,1.0,50.0,1.0,,,,,0.0,,,1.0,7
H00213-04-01,1,2014,3,7,28869800.0,28884800.0,7852000.0,16242200.0,12627600.0,20130000.0,16.0,8.0,,,,2280000.0,2150000.0,23000000.0,,,,,27430000.0,0.08312067079839591,,0.07838133430550492,1.0,51.0,1.0,,,1.0,99.0,0.0,51.0,15.0,1.0,7
H00301-04-01,1,2014,3,8,6079000.0,6079000.0,0.0,3398200.0,2680800.0,420000.0,12.0,4.0,,,,4320000.0,0.0,0.0,,,,,4320000.0,1.0,,0.0,1.0,45.0,1.0,,,,,0.0,17.0,,1.0,6
H00302-04-01,1,2014,4,9,5559600.0,5559600.0,0.0,2839200.0,2720400.0,2020000.0,,,,,,,510000.0,0.0,,,,,510000.0,,,1.0,1.0,46.0,1.0,,,,,0.0,14.0,14.0,1.0,2
H00303-04-01,1,2013,10,10,3686800.0,3745800.0,36000.0,2080000.0,1606800.0,60000.0,24.0,8.0,,,,4200000.0,0.0,0.0,,,,,4200000.0,1.0,,0.0,2.0,62.0,1.0,,,,,0.0,16.0,,1.0,5
H00304-04-01,1,2014,4,11,2793000.0,2793000.0,90000.0,1934400.0,858600.0,15000.0,12.0,4.0,,,,1440000.0,0.0,0.0,,,,,1440000.0,1.0,,0.0,1.0,40.0,1.0,,,3.0,19.0,0.0,16.0,7.0,1.0,1
H00307-04-01,1,2013,10,12,5808600.0,5808600.0,26000.0,3393000.0,2415600.0,150000.0,12.0,4.0,12.0,4.0,,1728000.0,170000.0,0.0,,,,,1898000.0,0.9104320337197049,,0.08956796628029505,2.0,42.0,1.0,,,,,0.0,15.0,14.0,1.0,4
H00312-04-01,1,2014,4,13,10236600.0,10236600.0,0.0,5779800.0,4456800.0,1370000.0,36.0,12.0,,,,28224000.0,1195000.0,0.0,,,,,29419000.0,0.9593799925218396,,0.04062000747816037,2.0,52.0,1.0,3.0,19.0,8.0,19.0,0.0,32.0,5.0,1.0,7
H00313-04-01,1,2014,4,14,43919200.0,43919200.0,0.0,16104400.0,27814800.0,41830000.0,,,,,,,2500000.0,0.0,,,,,2500000.0,,,1.0,1.0,55.0,1.0,,,3.0,10.0,0.0,36.0,14.0,1.0,6
H00606-04-01,1,2014,7,15,11294600.0,14094600.0,562800.0,7381400.0,3913200.0,1235000.0,12.0,4.0,,,,5400000.0,0.0,0.0,,,,,5400000.0,1.0,,0.0,1.0,50.0,1.0,,,73.0,20.0,0.0,31.0,,1.0,5
H00704-04-01,1,2014,2,16,5372000.0,5372000.0,960000.0,3458000.0,1914000.0,3745000.0,13.0,5.0,12.0,4.0,,3618750.0,420000.0,0.0,,,,,4038750.0,0.8960074280408542,,0.10399257195914577,1.0,46.0,1.0,,,99.0,19.0,0.0,23.0,,1.0,8
H00707-04-01,1,2014,8,17,17240800.0,17347800.0,0.0,6869200.0,10371600.0,114530000.0,6.0,4.0,,,,360000.0,700000.0,1560000.0,,,,,2620000.0,0.13740458015267176,,0.26717557251908397,2.0,51.0,1.0,,,,,0.0,32.0,,1.0,7
H00710-04-01,1,2014,2,18,5348400.0,5348400.0,216000.0,2355600.0,2992800.0,20327000.0,2.0,4.0,,,,480000.0,120000.0,0.0,,,,,600000.0,0.8,,0.2,1.0,52.0,1.0,73.0,14.0,73.0,19.0,0.0,12.0,,1.0,7
H00712-04-01,1,2014,2,19,21260440.0,21260440.0,0.0,7788040.0,13472400.0,16385000.0,12.0,4.0,,,,6600000.0,1525000.0,0.0,,,,,8125000.0,0.8123076923076923,,0.18769230769230769,1.0,61.0,1.0,,,,,0.0,51.0,,1.0,4
H00801-04-01,1,2013,10,20,24465600.0,24465600.0,1440000.0,11154000.0,13311600.0,9920000.0,17.0,8.0,12.0,4.0,,41080000.0,1560000.0,0.0,8010401.0,0.0,0.0,0.0,42640000.0,0.9634146341463414,0.0,0.036585365853658534,1.0,34.0,1.0,,,3.0,4.0,0.0,,,1.0,6
H00802-04-01,1,2013,10,21,6556400.0,6556400.0,0.0,3536000.0,3020400.0,155000.0,20.0,9.0,12.0,,,4320000.0,70000.0,0.0,,,,,4390000.0,0.9840546697038725,,0.015945330296127564,1.0,56.0,1.0,,,,,0.0,17.0,3.0,1.0,4
H00803-04-01,1,2014,3,22,14343308.0,14368308.0,124908.0,4050800.0,10292508.0,46050000.0,2.0,4.0,,,,800000.0,1560000.0,0.0,,,,,2360000.0,0.3389830508474576,,0.6610169491525424,2.0,51.0,1.0,,,,,0.0,34.0,,1.0,6
H00805-04-01,1,2013,10,23,3574700.0,3574700.0,408000.0,2151500.0,1423200.0,367000.0,12.0,4.0,,,,2880000.0,0.0,0.0,,,,,2880000.0,1.0,,0.0,1.0,29.0,1.0,3.0,22.0,,,0.0,34.0,,1.0,4
H00809-04-01,1,2013,10,24,18495400.0,18495400.0,2400000.0,4911400.0,13584000.0,1290000.0,,,10.0,1.0,,,150000.0,0.0,,,,,150000.0,,,1.0,1.0,45.0,1.0,,,,,0.0,15.0,,1.0,12
H00810-04-02,1,2014,3,25,34457520.0,34457520.0,0.0,7584720.0,26872800.0,103900000.0,13.0,8.0,,,,5450000.0,20000.0,12000000.0,,,,,17470000.0,0.31196336576989125,,0.0011448196908986834,2.0,57.0,1.0,,,,,0.0,51.0,,1.0,17
H00810-04-03,1,2014,3,26,12120200.0,12120200.0,0.0,4152200.0,7968000.0,6400000.0,,,,,,,200000.0,0.0,,,,,200000.0,,,1.0,1.0,27.0,2.0,,,,,0.0,51.0,30.0,1.0,2
